ID,Tags,Text
573,Care,"During my stay I was completely ignored. The staff failed to pick up on me aspirating and having a UTI, I also had pneumonia."
572,"Care,Facilities","Despite in a room with many physios treating many patients I was made to feel that I had personal, sensitive attention."
571,Care,I WAS QUITE ILL AFTER MY OPERATION AND THE CARE I RECEIVED WAS VERY GOOD
570,,"THE STAFF:  DOCTORS, NURSES AND CLEANERS WERE ALL VERY PROFESSIONAL AND TRIED TO HELP ALL THEY COULD EVEN WHEN VERY BUSY."
569,Care,the doctors/nurses and staff on SAU & ward 1 where I was treated with respect and dignity by all.
568,Facilities,The ward seemed clean and I regularly saw cleaners about working diligently.
567,Care,All the Staff were exceptional polite and friendly
566,Care,"The service I received was first class. The physiotherapist was polite, good humoured, helpful and kept me informed of what she was doing and why."
565,Care,very proffesional very gentle given answers to questions
564,Care,"there were a couple of outstanding individuals amongst the nursing team and the medical staff treated me with courtesy, respect and gave me all of the information I needed."
563,Care,Nurses were very caring and professional despite the fact they were very busy.
562,Care,"doctors working here agreed that the clenliness, respect and  treatment of most patients was barbaric."
561,,Friendly helpful staff.
560,Care,"Once again, I'm hugely impressed by the level of care I received, and wouls just like to say thanks :)"
559,,"The staff on the ward (from the doctors and nurses, to the assistants, and the cleaning staff) are absolutely amazing -  friendly, caring and cheerful. "
558,Care,"my husband was treated with great care at the emgermency and then transferred very quickly to observation were he stayed for a week all doctors,nurses and anxcillary staff worked together i giving wonderful care to my husband"
556,Care,"I was amazed at the level of service provided, the timeliness of my journey through a well orchestrated system and the attention, consideration and respect I received."
555,,friendlyness of all staff
554,Care,"I was seen fairly quickly, treated respectfully and my condition and next steps were well explained."
553,Check-in,Receptionist was friendly and helpful and arranged fracture clinic appointment promptly.
552,Care,"From prognosis to surgery to aftercare I was amazed and grateful for the diligence, information and comfort offered to me throughout. "
551,Facilities,very modern hospital
550,,"the friendly athmosphere on the ward,everyone was so kind,the nurses,doctors,cleaners were a great bunch of people."
549,,Helpfull Staff of all Grades
548,"Care,Check-in",The speed at which I was seen. Incredible.
547,Check-in,I was admitted quickly and efficiently.
546,,"Everything, the staff were fantastic. very helpfull kind and considerate."
545,,Well organised and all staff very efficient and thoughtful.
544,,"anaesthetist, surgeon and nurses where amazing. Was very scared of having a general anaesthetic but they were reassuring and helped me through."
543,Facilities,Clean hospital
542,"Staff,check-in","I am seen very soon after arriving each time and all the staff, nurse, doctor, anesthetist are very helpful. There seems to be a good sense of teamwork. "
541,Facilities,"The place is clean, welcoming and very efficient."
540,Care,I went to A&E three times in a week and was eventually wrongly diagnosed with an illness that usually only affected the elderly.
538,"Staff,Care","Great Service in the first ward after treatment. Prompt, attentive staff and only 4 beds."
537,Facilities,Excellent facilities
536,,"Helpful, pleasant, polite nursing and auxiliary ward staff - even with the most trying patients   others too eg porters and caterers "
534,Facilities,"Nice, Impressive New Building"
533,Care,Well what can I say  I was totally disgusted with the treatment my best friend received for such a well know hospital.
532,,"The staff were politeness itself ,totally dedicated, and were always on hand to help or advise.  The standard of care was excellent"
531,,The nursing staff was great
530,,"The manner in which all members of staff engaged with my elderly Mother, treating her with respect and patience at all times and explaining everything to her as they did so."
529,,"The staff were so nice I was in having my baby was due to be induced that morning but labour ward was too bust so they had to wait till there was a bed free as it happens I went into labour on my own and it was a very quick labour, the midwives were FANTASTIC and exactly the same back up on the wards when i had given birth"
528,,"I would like to thank all the staff, Doctors, Nurses and everyone for the wonderful care I recieved"
527,,All staff appeared to work as a TEAM and everything was explainmed clearly
526,Facilities,"My visit to the endoscopy unit was very pleasant, far better than the unit on the old hospital. It was clean, run efficiently"
525,Care,I feel that I personally cannot make a decision about my treatment due to poor clinical information& conflicting diagnosis  to spite having had all tests done fast
524,Care,The treatment I received was first class and I was deeply impressed with the professionalism of all involved.  Many thanks.
523,Care,"Over the last few visits, the she and her team have built up my wife's confidence to a point that she is now able to come without any fear of being hurt or feeling uncomfortable about attending."
522,Check-in, I have never had to wait more than 10 minutes for an appointment and I have managed to be seen when I arrive early.  
521,,The midwives have been professional and courteous and answered all my questions.  
519,Check-in,I cannot speak highly enough of the MRI department. I only waited 6 weeks for the scan after it was requested. I was in immediately on arrival. You are asked to arrive 15 mins before your appointment time which I did.  I had been sitting down less than a minute when my name was called. T
518,Facilities,"A general sense that standards of clinical and nursing practice were of the highest, in a modern physical environment with the latest equipment. Generally the atmosphere was calm and restful."
516,"Staff,Care","I lived in the states for over 10 years, before I moved to London 2 years ago, I can say that the overwhelming plus of this hospital, beyond the world class medicine is the positive, friendly and always smiling attitude of nurses, doctors and staff !"
515,Care," I was treated with respect and courtesy and, although there were many patients who were very much more ill than I was, the doctors and nurses never made me feel I was wasting their time."
514,,"Without exception, every one of the medical staff that dealt with us during the course of the day showed us extreme compassion, care and sensitivity - whether that be the different nurses who took my blood, inserted the canula, gave me an injection, administered painkillers and brought us tea and a snack after the procedure, or the member of research staff that scanned me and the consultant who completed the procedure. "
513,"Facilities,Staff",The equipment seemed up to date. The nurse/?healthcare assistant seemed quite caring.
512,"Facilities,Staff","Beautiful clean building. Lovely, courteous and friendly staff.  Not kept waiting excessively long times for bloods or scans."
511,Care,"The review by my Head and Neck consultant has been equally good. He explained things clearly, gave me space to ask questions and took my concerns about possible further treatment seriously."
510,,"Although she was very seriously ill when diagnosed, the doctors and nurses have fought extremely hard for her and now she is doing well. "
509,,Her excellent and kind oncologist is one of the best in the business and we are very grateful to them and their totally committed team.
508,Care,Her treatment was excellent and I was kept informed by staff of her progress This is a great example of the benifits of the NHS and how well it really performs. Thanks.
507,,The A&E staff realised I was in significant pain and saw me relatively quickly
505,Care,"I was admitted on Jan 20th having collapsed at work to UCH and everything had been fine, I felt cared for but nothing could be found wrong with me having done an ECG and CAT scan."
504,, The surgical team were excellent we were admitted at approx 1230 and my son had his operation a few hours later.
502,,The surgical team were fantastic.  Always willing to listen and answer questions.
501,,"The consultant is by far the best I have seen. nurses fantastic always checking you are ok.   Anesthesiologist, fantastic, very calming before an operation."
500,,"My oncologist is wonderful - kind, compassionate and an excellent physician. He presides over an amazing team including a dietician, specialist nurse. The chemo nurses are amazing too."
499,Facilities,The facilities in the new  Birthing Centre were amazing. 
498,,One midwife was helpful.
497,Check-in,The reception staff at A&amp;E were efficient and outlined the likely waiting time. 
495,Check-in,I went to the Hospital this morning for another routine blood test without an appointment. I was in and out within 20 minutes. I am so impressed with the service and efficiency.
494,,The nurse who saw me was very friendly. It had made waiting for a long time much less frustrating as it made me feel I was in good hands.
492,Care,"My father was on the 16th floor for 6/7 weeks. In that time, he saw his consultant ONCE and rarely saw the same doctor twice. "
490,"Facilities,Staff,Care","I was treated well, the operation was  a succes, the hospital was clean, the doctors and nurses were excellent"
489,,The medical and nursing care were first class.
487,Care,"All took the time to introduce themselves, explain what was happening, when things would happen, what would happen next. "
486,,"I thought the consultants were excellent and very thorough, they reassured me. The pediatrician was incredible with my son as well as me (the worrying, crying mother). "
484,Care,when I had my op the registrar who I saw afterwards gave me absolutely no information about aftercare what so ever.
482,Facilities," The facilities were very clean, brand new. I would definitely recommend the Hospital."
481,,"Again the personnel, doctor and nurses were very helpful and encouraging. I received all the information about my case."
480,"Facilities,Care","The hospital is very clean. They give you all the information and options, then support you to make informed decisions. "
479,,"The A&E staff were good natured and professional, especially the paediatric nurse and doctor. It helped that it wasn't too busy (saturday PM). "
478,,Baring a few of the nurses I saw during my stay at XXX I liked absolutely nothing.
477,"Check-in,Staff",Midwife appointments are never on time and they give you very little time to do the checks and no time to ask questions. Receptionists are very rude and even yell at pregnant woman. 
476,, It has the worst staff and management. 
475,, The clinicians and their team are highly skilled at resolving/managing complex bladder dysfunction and related issues.  The standard of care is normally very high.
474,Care,"Care, and concern for appropriate diagnosis and treatment. Exceptional concern for my cultural/religious needs, especially where they clashed with medical needs - even though I would not have known."
473,," Staff were friendly, polite and communicative."
472,Facilities,"My stay at this hospital was very plesent at all times, and would recomend it to all."
471,Care,The Consultant was knowledgeable and thorough in her examination of me. She correctly diagnosed several problems I had had years ago. 
470,Care,i have been attending such for 10 years now and they are saving my life i am so grateful
469,,Manners and patience of all staff involved; when treating a patient it was clear staff concentrated on all aspects of patient wellbeing;
468,Care, i am glad i went there to have my daughter and have the best crew to care for me before and after giving birth.
467,Care,"Prompt, sympathetic, supportive help. Problems and options were carefully explained. The pathway to a positive outcome was made clear, both in terms of what Ineeded to do and what the hospital could do, and the aftercare and support were very good."
465,Care,speed of treatment.
464,,"Staff have always been wonderful, caring and considerate."
463,,Caring and considerate staff throughout.
462,,it was just a great expierance thanks very much all the staff
461,Facilities,I had day surgery here recently and cannot praise them enough - the hospital was very clean.
460,,"all staffs, doctors, nurses and midwifes in antenatal clinic, labour ward and maternity unit are very caring and helpful. they all look after me very well."
459,,"I have been involved with the rehab team, the midwifery, health visitor and nursery nurse teams. All have been very supportive, reassuring and professional with their care."
458,Check-in,"From the time I walked through the entrance door I was treated as an individual, any concerns I had were soon put at ease. I was kept informed of the days events and had no concerns what so ever."
457,Facilities,During Pre Admission and my attendance for surgery I found all areas of the Hospital were exceptionally clean.
456,," All the nurses were incredibly helpful, attentive and friendly. "
455,,All of the staff who dealt with me where informative pleasant and efficiant I could not fault them in any way att all.
453,,"The nurse I saw was brilliant. Talked to me nicely.  Did all my tests and told me about my blood pressure, pulse etc.  "
452,Care,The efficiency and care with which they attended to my injury could not be faulted. 
451,Facilities,General cleanliness
450,Care,I attended the new wok in centre and was referred after examination to the hospital were i was treated quickly and very professionaly
449,,Staff fine and helpful and apparently under some pressure
448,,"The staff were excellent,kind."
447,Check-in,"on visiting the consultant's outpatient clinic appointment times seem to mean nothing,patients seem to arrive after my appointment time but are still called in before me,there seems to be no set policy that the patients understand as to how patients are called"
446,Care,i was dealth with very speedily from Gp referral to operation. And at every point was informed what was going on. ( i was having a tonsilectomy)
445,,"As somebody with dietary intolerances, I feared that food might be a problem, but no. Every meal was healthy and tasty."
444,Check-in,Far too long a waiting time for physio appointment to come through even though its supposed to help podiatry treatment I am receiving. Hindering my progress.
443,Facilities,The hospital has been clean and efficient.
442,,At all times I've found all staff to be friendly and courteous. 
441,Care, He is left unwashed and choking due to a lack of help clearing his throat until a family member arrives to prompt the nurses. He has a good mental state which tends to deteriate the longer he is admitted due to a lack of engagement from staff. It seems he is better cared for at home under his nurses who only visit twice a day.
440,," The SHO was incredible, really took time to sit with me and talk things through, and made appropriate referrals.  all the midwives were lovely, and didn't make me feel like I was wasting their time.  The consultant and midwives at the ante-natal clinic were also amazing, and came up with a planned extension to my stay in hospital and medication post-natally."
439,,"The staff in the ward were all friendly, caring and couldn't do enough to help you. They made regular checks throughout the night."
437,Check-in,The speed in which I was taken to a cubicle after presenting.
436,," The breakfast, lunchtime meals and supper deserts were nutritious, well prepared very good."
435,Facilities,The ward was clean and well maintained.
434,,"The majority of the nursing and medical staff were friendly, helpfull, respected dignity and spoke to you in a respectful manor as you would expect as an adult. "
433,,"The staff were extremley helpful, very caring and always there if you needed them."
432,,I liked the fact that the place was like a little community as they all seemed to get on very very well. i was admitted onto the childrens ward with Diabetes and i found the nurses  to be friendly and co-operative and patient.
431,,"I liked the mannerism of the second doctor who attended to my daughter, he was more caring and made my daughter feel more comfortable even though we had waited 4 hours to see him after the appointment time of 10am (not his fault though). The nurses were really pleasant too."
430,Care,"unfortunately the only thing that i felt comfortable with was how my grandad was cared for in intensive care, before that he was on a ward after an operation and they did not care for him properly the care was absolutely shoking!"
429,Care,"I liked virtually all the staff I was well treated in A&E. I was kept comfortable on the ward, and I actually enjoyed some of the food! I was severely criticised for being a smoker, and was told my recovery would be much much slower if I didn't stop."
428,Care,"The surgeon saved my life,along with the wonderful anaethetist,I cannot thank them enough for what they did for me,they have changed my life around,and given me hope where it was not possible before.God bless them both !"
427,"Care,Staff", My waters broke 4 weeks early and went straight to the hospital - I was seen straight away even though they were really busy with 4 deliveries. I was very anxious as it was my first baby and I hadn t planned it to come early! All the staff were brilliant and made sure I understood everything that was happening and really made me feel at ease. I was in for 5 days and the care I received was Fantastic!
426,Care,"I was treated extremely promptly and very skilfully for a barbed wire cut under my chin. It has now healed well and I couldn't be more pleased with the the treatment received and the outcome. Thankyou. I trust the people of Totnes appreciate their hospital, I would not have received anything like this treatment at my local hospital"
425,,"The consultant doctor is very knowledgable, helpful and respectful"
424,"Check-in,Care"," I was seen quickly in A&amp;E and sent for an x-ray.  My fracture was quickly recognised and initial treatment and advice given.  Then during my  visit to fracture clinic, although it was very busy, again I was seen quicky and treated courteously. "
421,"Care,Facilities","Nothing my experience was A & E very dirty no one washed their hands procedures were disgusting second day debri on florr from day before painters filling bucket in sink in cubicle put with builders in lift porter rammed me through doors hurting my elbows, canular left in arm and had to be taken out by own Doctor that evening."
420,Facilities,"The hospital was very clean, well organised and with staff who clearly cared about what they were doing.  Food was good. "
418,"Care,Staff","the treatment i received here could not have been better! the staff were very friendly, helpful and understanding and even rang the jobcentre for us, to say that we could not attend our appointment for the afternoon! if only the a&amp;e staff had been half as accommodating, i wouldn't much have minded the reason i was there."
417,"Care,Check-in",The treatment was quick. There was not a great deal of waiting time.
416,Care,All my consultants and specialist nurses have aways treated me and my familywith great  kindness dignityand respect. All the nurses on all wards are very caring. Also doctors in A&E are excellent
415,,i took my dad to a&e on tue with an infected toe and the staff that looked after him were axcellent aspacially the staff nurse.
414,,"All the staff on X ward worked well together, and no matter how busy they were, i felt we the patients always came first.I was quite sad to leave."
412,Care,The overall experience of being cared for by people who obviously take the time to make sure that you are kept informed about what's going on from the time you are admitted to being discharged.
411,,I would like to say a very big Thank you to all the people on X ward who looked after me extremely well on my recent stay.  Keep up the good work it was much appreciated
410,,The nurse was very helpful and carried out a number of tests well and was very nice.
409,,"I felt like the staff did a really good job of keeping me in the loop at all times about what decisions were being made. They explained clearly about what was happening and why. They called me at home to inform me of results and discuss through options. Overall the staff were kind, sympathetic and really good at their jobs."
408,,"The nurses and HCAs were amazing to me, I was in the hospital for nearly 2 weeks and although I rarely saw the doctors the attention and care I received from other staff definately made up for it. "
407,,"I would like to thank everybody at  Hospital who looked after me so well during my stay for an operation on my prostate. I cannot praise the staff enough.  It did not matter whether the contact was with a receptionist, nursing staff, auxillaries, doctors, registrars, anaesthesitists or whoever. The service was always the same - very good."
406,,"During my stay in hospital I was impressed with the standard of food on offer. There was, for me, always ample choice of menu and the food was always hot and well presented. The coffee and tea served during the day were also very good and fresh."
405,,"I was made to feel assured, comfortable and treated with excellent care by all members of staff I came into contact with, from the surgeon who operated on me who went though the procedure when I first arrived, all the nurses, and  even the porter who took me to xray."
404,Care,I think it highly unlikely that i could have had better care anywhere in the world than I received on all four occasions in this hospital. I was always treated with the utmost respect and yes I even enjoyed the food.
402,Care,"My mum was admitted in intensive care, where the care was fabulous and she and all of us (family) were treated with with respect and kept up to date daily.Nothing was too much trouble and nurses were constantly monitering my mum and giving her round the clock care."
401,,the staff on that ward (all shifts) was fantastic they could not have been more helpfull  the hospital was spotless (even in a&e)it puts our hospital at home to shame thank you for the care and attention i recieved for the three days i was in there.
400,,"The staff seemed to be walking around doing nothing and if you asked for anything you had to wait, you were never welcomed on arrival or departure."
397,Care,Every aspect of my treatment was first class.
396,"Staff,Care","I was quite nervous about my operation, but the staff were lovely and made me feel much more relaxed. I was treated with care and kindness by everybody. The ward was clean and pleasant but it was the people working in it who really made the difference.... I cannot praise them enough."
395,,Firstly all the staff i came in contact with being taken in for emmergency treatment that was. All departments worked very hard and well although i had to wait for a long time from the time arrived and the actual operation
394,,The fact that the surgeon took the trouble to come and meet me and shook my hand and assured me everything would be OK.  (I had a cyst and an ovary removed).
393,Care,Well to be honest not a lot as my overall experience having my baby boy at  hospital was disgraceful.
392,,"Staff was exceptionnaly efficient, carefull and dedicated, explaining and answering to questions."
391,Care,I am really grateful to all those in  Hospital who took care of me with efficiency and dedication. I was efficiently treated an did not have to pay anything from entering the ambulance to getting out of the Hospital.
389,,the very 1st nurse i saw she was amazing so understanding .
387,"Staff,Care",when admitted to the ward the care was bad they havnt got enough staff and then couldnt find medication and when you want to discuss anything with the staff they are either to busy or the staff for you bay isnt available the hygiene is good as there has been dried blood under my daughters bed for 3 days although we have told the staff
386,Facilities,"I found it very distressing that once you have recovered from, theatre - you are taken to a mixed ward. When i needed to go to the toilet I had to walk past a lot of men in beds in a rather revealing hospital gown when I was in a lot of discomfort following the procedure. "
385,Check-in,I did not find the appointment at all a nice experience.
384,Check-in,never got appontment after heart problems
383,,"The Medical staff were superb! Very professional and efficient, whilst friendly and warm."
382,,The staff were very sympathetic and helpful with all the information I needed.
381,Care,"The treatment was speedy and I was aware of everything that was going on and updated at all times, the after care has been tremendous."
380,,"All the staff were incredibly efficent, friendly."
379,,My daughter was treated by the Early Intervention Team with great success and all members of the Team were so helpful and kind and effective during a very difficult period.
378,"Staff,Facilities","The medical staff appeared to listen to what I had to say. They even (unlike in the past) re-arranged the ward round time so I, who had a long journey, did not have to hang around while they stuck to patients in their predetermined order,"
377,,Was even given a menu choice for sandwiches
376,Care,The operation took place pretty much at the time they had predicted  and I was weel cared for until my husband picked me up.
375,Facilities,"The ward was very clean, open and airy. It smelt fresh and was calming in appearance."
374,,"The doctor and the nursing assistant and reception, thanks for a very professional service last Sunday when I attended with a chest infection"
373,,"The nurse and doctor were efficient, friendly and reassuring and also charming.  They explained everything about their diagnosis, treatment."
372,,All the staff were caring and considerate.
371,Check-in,Brilliant experience in outpatient dept. No waiting.
370,Facilities, All areas of the hospital I saw were clean and tidy.
369,Facilities,Nice gardens with lot of space
368,Check-in,"everyone was friendly even had tea and biscuits while waited,"
367,Check-in," My appointment proceeded on time, and I was not kept waiting unduly at any point during my visit. "
366,,"I was very well treated by all of the staff who looked after me on my recent visit to the Outpatients Department for a respiratory problem.  They were very kind, courteous and helpful.  "
365,Facilities,Clean toilets.
364,,Very helpful staff.
363,Facilities,The clinic appears to be clean and well maintained.
362,Check-in,Each time I make an appointment I later receive a cancellation and a new appointment made. This has happened 5 times in the last two years. each time there is a further delay of one - two months. The appointment booking system here is a joke.
361,Facilities,Modern bright surroundings
360,Check-in,Seen very quickly didnt have to wait long in waiting room.
359,,"the staff were helpful, friendly, competent."
358,"Care,Staff",The care given by all the nurses was very supportive and I felt confident in all treatments and advice given.   The surgeon came to see me personally re postponement and then again after my surgery. 
357,, From the nurses to the doctor everyone treated me with respect and kept me informed as to my treatment.
356,Care,I can't fault the care I had as an inpatient (or as an outpatient during investigation) at this inspirational hospital.
355,,Staff was amazing and was treated with so much respect.
354,Facilities,The Day Surgery Unit is clean and ordered.
353,,All staff I spoke to were very helpful and polite. The nurse practicioner I saw for a colposcopy explained everything thoroughly and was very kind and reassuring.
352,Facilities,Hospital was very clean.
351,,"Sympathetic treatment by nurses in the early pregnancy diagnostic unit after my miscarriage. Two nurses were professional and sympathetic, and put me at ease during my scan."
350,Facilities,Radiology department and ECG department were clean. A&E department was not clean. Some part of hospital is modern compare to other part.
349,,the doctors and staff to be kind and caring
348,,"We encountered 3 nurses, the receptionist, a radiographer and a doctor, all of whom were not only quick workers (who obviously knew what they were doing) but also friendly, ready with a smile to make us feel at ease."
347,Care, I have always found the care to be excellent .
346,Facilities,The cafeteria is an excellent facility
345,,The staff who dealt with me in the clinic were very helpful and supportive.
344,Facilities, It goes without saying the facilities are amazing.
343,Care,the care was fantastic.
342,Care, I felt really cared for. I think I had the best experience possible
341,,"the midwives were superb - kind, patient, supportive."
340,,"The Consultant, Surgeon, Doctors and the Oncology department as a whole (including front desk staff) were clear, helpful, kind and understanding, as well as offering excellent medical practice."
339,Facilities,the hospital was clean.
338,Facilities,Used to be quick and on time with Blue Badge parking available  now will not address no blue badge parking blaming . Having clinical trial with third of people disabled if go up in scooter there will be health & safety issues - fire .
337,"Check-in,Staff",The receptionist was rude when I complained and said I would have to wait 3 weeks for a new appointment
336,Care,"The care - there were several times when people took more trouble with me than they strictly needed to - coming up to the ward to see how I was getting on, for example. "
335,Care,"I was treated by the A&E Dept for a broken toe. I had a wait for an X-Ray and then for treatment.I was asked whether I wanted an injection for local anaesthetic, but advised that it was not recommended, as there is a risk of infection - this involved me in the treatment and was good"
334,,"The staff (doctors and nurses) were exceptionally helpful and kind, giving up their own spare time to ensure my wife could get scans done quickly and save her discomfort & stress."
333,Facilities,The out-patients area was very clean and tidy.
332,,There staff and doctors were all very helpful towards him and very professional.  
331,Facilities,"The cardiac ward, is spacious, light and state-of-the-art. "
330,Care,"My treatment was both kind and vigilant, which is exactly what a worried, unwell person needs. "
329,"Staff,Care","Staff were professional and respectful, provided high standard of care in three departments."
328,Care,she had a complete examination there.
327,,The radiographer was very through and explained what he was doing during the whole procedure.
326,,All the staff involved were professional and courteous.
325,Care,My six month old son received excellent care at the Paediatric Ophthalmology Clinic. 
324,Check-in,Appointments on time.
323,,Staff friendly
322,,The courtesy and professionalism of all staff and the care and dedication of all involved in the midwifery team.
321,,How convincing the staff were that they knew what they were talking about
320,, The food wasn't great though - a bit hit and miss.
319,Facilities,The ward was cleaned several times daily
318,Care,The patient care and professionalism.
317,,the staff and doctors were kind caring and courteous and very hard working.
316,,"Even with the lack of staff and resource to their disposal they are always willing to help, give advice and try to give the best care possible."
315,,"The diabetic clinic staff, under staffed and over worked but always ready to help"
314,Check-in,"Seen quickly in A&E, monitored and discharded home all in 2-3 hours, after being knocked out."
313,Check-in,There is nothing I liked at all I waited THREE  hours to be seen. 
312,,Most of the staff where very nice and helpful.
311,Facilities,The whole place was incredibly clean and easy to get around
310,,The food is excellent and there is a good choice.
309,Care,The only bad point about my care medically speaking was that they never gave me any information about the drugs I was receiving. I had numerous tablets placed in front of me and was expected to take them without any questions asked. 
308,Check-in,"I had an appointment for an x-ray and although it was very busy, the system was very efficient, as quick as possible."
304,, They treat you with respect and compassion at what can be a confusing time. Everthing is explained to you and the open evening is a very good idea. I'm very grateful to the team for the help they have given us.
303,Care,"I was on 'ambulatory care' of the new QE hospital. Just had a minor procedure, "
302,Care,I  have been very happy with the care that I have received there. 
301,,"I spent a few hours at the Early Pregancy Unit today, and found all members of staff who I came into contact with extremely pleasant, kind and welcoming. They were clearly really busy and running late impacting on the clinical staff's lunch break, but this did not affect their professionalism or attitudes; I was really impressed."
300,,Friendly efficient staff in the Haematology Clinic.
298,Check-in,On arrival at the ENT reception I was quickly attended to and shown where to sit to await the Dr.
297,,When I was finally admitted for my surgery the nursing staff and my new consultant were wonderful.
296,Check-in,I did not have to wait for very long.
295,,The doctor was thorough.
294,,I  thought the domestic staff and ward housekeeper were kind and friendly. They worked hard but still had time for a kind word especially when I was upset. One of the nurses on the ward was also very caring. The porters were nice and made conversation.
293,Check-in,The waiting time in ENT out patients was rather lengthy.
292,"Check-in,Facilities",waiting area had plenty of seats
291, Facilities,"I was a patient in Maternity Unit. The Unit was clean, and the food was quite good."
289,Check-in,Waiting time was short.
288,,Staff courteous. 
287,,All staff were very professional
286,Check-in,"There was not too long a queue at the check in desk.  The receptionist noted my appointment time on my file, on the sheet related to that appointment."
285,Staff, The staff where very good and polite and they looked after me and treated me like everyone else and not just like a child even though I am 23 yrs old.
284,,the quality of the food needs to be looked at.
283,Staff,"Some of the midwives leave a lot to be desired, some even seem as if they cannot be bothered."
282,Staff,"I received surgery from an outstanding surgeon and assistants all the staff i had contact with were pleasant kind and cheerful they helped me through a very worrying time and I am very grateful to them, thank you all very much."
281,Staff, The staff where very good and polite and they looked after me and treated me like everyone else and not just like a child even though I am 23 yrs old.
280,Staff,"Everyone the cleaners, secretaries, nurses the surgeons were fantastic! Well done is all I can say."
279,Care,The care and treatment I was given was exceptional.
278,Staff,"The Doctor's, Midwives, Nurses and all other staff are fantastic, and should extremely proud of them selves"
277,Care,The level of professionalism and care at the QE's maternity unit is exceptional.
276,Care,I have felt that treatment is focused on me and that everything possible is being done to support me and treat me thoroughly - including support for my family. I love this unit!
275,Check-in,the quick admission to A&E via ambulance
274,Facilities,"The ward I was on was maternity and it was swarming with wood lice, not a very enjoyable experience at all."
273,Staff,some of the staff had a very abrubt manner.
272,,The hospital food was horrible.
